Sample_ID	Timepoint	SampleType	Genotype	Treatment	Replicate	TreatmentByTimepoint5
P1	Positive	Positive	Positive	Positive	Positive	PositivePositive
TP11_L19	TP11	Leaf	BT642	Control	2	ControlTP11
TP11_L2	TP11	Leaf	BT642	Control	1	ControlTP11
TP11_L20	TP11	Leaf	RT430	Control	2	ControlTP11
TP11_L5	TP11	Leaf	RT430	Pre_flowering	3	Pre_floweringTP11
TP11_L6	TP11	Leaf	BT642	Pre_flowering	3	Pre_floweringTP11
TP12_L1	TP12	Leaf	RT430	Control	1	ControlTP12
TP12_L11	TP12	Leaf	BT642	Control	3	ControlTP12
TP12_L12	TP12	Leaf	RT430	Control	3	ControlTP12
TP12_L13	TP12	Leaf	RT430	Pre_flowering	2	Pre_floweringTP12
TP12_L14	TP12	Leaf	BT642	Pre_flowering	2	Pre_floweringTP12
TP12_L17	TP12	Leaf	BT642	Pre_flowering	1	Pre_floweringTP12
TP12_L18	TP12	Leaf	RT430	Pre_flowering	1	Pre_floweringTP12
TP12_L19	TP12	Leaf	BT642	Control	2	ControlTP12
TP12_L2	TP12	Leaf	BT642	Control	1	ControlTP12
TP12_L20	TP12	Leaf	RT430	Control	2	ControlTP12
TP12_L5	TP12	Leaf	RT430	Pre_flowering	3	Pre_floweringTP12
TP12_L6	TP12	Leaf	BT642	Pre_flowering	3	Pre_floweringTP12
TP13_L1	TP13	Leaf	RT430	Control	1	ControlTP13
TP13_L11	TP13	Leaf	BT642	Control	3	ControlTP13
TP13_L12	TP13	Leaf	RT430	Control	3	ControlTP13
TP13_L13	TP13	Leaf	RT430	Pre_flowering	2	Pre_floweringTP13
TP13_L14	TP13	Leaf	BT642	Pre_flowering	2	Pre_floweringTP13
TP13_L17	TP13	Leaf	BT642	Pre_flowering	1	Pre_floweringTP13
TP13_L18	TP13	Leaf	RT430	Pre_flowering	1	Pre_floweringTP13
TP13_L19	TP13	Leaf	BT642	Control	2	ControlTP13
TP13_L2	TP13	Leaf	BT642	Control	1	ControlTP13
TP13_L20	TP13	Leaf	RT430	Control	2	ControlTP13
TP13_L5	TP13	Leaf	RT430	Pre_flowering	3	Pre_floweringTP13
TP13_L6	TP13	Leaf	BT642	Pre_flowering	3	Pre_floweringTP13
TP14_L1	TP14	Leaf	RT430	Control	1	ControlTP14
TP14_L11	TP14	Leaf	BT642	Control	3	ControlTP14
TP14_L12	TP14	Leaf	RT430	Control	3	ControlTP14
TP14_L13	TP14	Leaf	RT430	Pre_flowering	2	Pre_floweringTP14
TP14_L14	TP14	Leaf	BT642	Pre_flowering	2	Pre_floweringTP14
TP14_L17	TP14	Leaf	BT642	Pre_flowering	1	Pre_floweringTP14
TP14_L18	TP14	Leaf	RT430	Pre_flowering	1	Pre_floweringTP14
TP14_L19	TP14	Leaf	BT642	Control	2	ControlTP14
TP14_L2	TP14	Leaf	BT642	Control	1	ControlTP14
TP14_L20	TP14	Leaf	RT430	Control	2	ControlTP14
TP14_L5	TP14	Leaf	RT430	Pre_flowering	3	Pre_floweringTP14
TP14_L6	TP14	Leaf	BT642	Pre_flowering	3	Pre_floweringTP14
