Sample_ID	Timepoint	SampleType	Genotype	Treatment	Replicate	TreatmentByTimepoint5
P1	Positive	Positive	Positive	Positive	Positive	PositivePositive
TP11_Z14	TP11	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP11
TP11_Z15	TP11	Rhizosphere	BT642	Post_flowering	1	Post_floweringTP11
TP11_Z16	TP11	Rhizosphere	RT430	Post_flowering	1	Post_floweringTP11
TP11_Z17	TP11	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP11
TP11_Z18	TP11	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP11
TP11_Z19	TP11	Rhizosphere	BT642	Control	2	ControlTP11
TP11_Z2	TP11	Rhizosphere	BT642	Control	1	ControlTP11
TP11_Z20	TP11	Rhizosphere	RT430	Control	2	ControlTP11
TP11_Z21	TP11	Rhizosphere	BT642	Post_flowering	3	Post_floweringTP11
TP11_Z22	TP11	Rhizosphere	RT430	Post_flowering	3	Post_floweringTP11
TP11_Z3	TP11	Rhizosphere	RT430	Post_flowering	2	Post_floweringTP11
TP11_Z4	TP11	Rhizosphere	BT642	Post_flowering	2	Post_floweringTP11
TP11_Z5	TP11	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP11
TP11_Z6	TP11	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP11
TP12_Z1	TP12	Rhizosphere	RT430	Control	1	ControlTP12
TP12_Z11	TP12	Rhizosphere	BT642	Control	3	ControlTP12
TP12_Z12	TP12	Rhizosphere	RT430	Control	3	ControlTP12
TP12_Z13	TP12	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP12
TP12_Z14	TP12	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP12
TP12_Z15	TP12	Rhizosphere	BT642	Post_flowering	1	Post_floweringTP12
TP12_Z16	TP12	Rhizosphere	RT430	Post_flowering	1	Post_floweringTP12
TP12_Z17	TP12	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP12
TP12_Z18	TP12	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP12
TP12_Z19	TP12	Rhizosphere	BT642	Control	2	ControlTP12
TP12_Z2	TP12	Rhizosphere	BT642	Control	1	ControlTP12
TP12_Z20	TP12	Rhizosphere	RT430	Control	2	ControlTP12
TP12_Z21	TP12	Rhizosphere	BT642	Post_flowering	3	Post_floweringTP12
TP12_Z22	TP12	Rhizosphere	RT430	Post_flowering	3	Post_floweringTP12
TP12_Z3	TP12	Rhizosphere	RT430	Post_flowering	2	Post_floweringTP12
TP12_Z4	TP12	Rhizosphere	BT642	Post_flowering	2	Post_floweringTP12
TP12_Z5	TP12	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP12
TP12_Z6	TP12	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP12
TP13_Z1	TP13	Rhizosphere	RT430	Control	1	ControlTP13
TP13_Z11	TP13	Rhizosphere	BT642	Control	3	ControlTP13
TP13_Z12	TP13	Rhizosphere	RT430	Control	3	ControlTP13
TP13_Z13	TP13	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP13
TP13_Z14	TP13	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP13
TP13_Z15	TP13	Rhizosphere	BT642	Post_flowering	1	Post_floweringTP13
TP13_Z16	TP13	Rhizosphere	RT430	Post_flowering	1	Post_floweringTP13
TP13_Z17	TP13	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP13
TP13_Z18	TP13	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP13
TP13_Z19	TP13	Rhizosphere	BT642	Control	2	ControlTP13
TP13_Z2	TP13	Rhizosphere	BT642	Control	1	ControlTP13
TP13_Z20	TP13	Rhizosphere	RT430	Control	2	ControlTP13
TP13_Z21	TP13	Rhizosphere	BT642	Post_flowering	3	Post_floweringTP13
TP13_Z22	TP13	Rhizosphere	RT430	Post_flowering	3	Post_floweringTP13
TP13_Z3	TP13	Rhizosphere	RT430	Post_flowering	2	Post_floweringTP13
TP13_Z4	TP13	Rhizosphere	BT642	Post_flowering	2	Post_floweringTP13
TP13_Z5	TP13	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP13
TP13_Z6	TP13	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP13
TP14_Z1	TP14	Rhizosphere	RT430	Control	1	ControlTP14
TP14_Z11	TP14	Rhizosphere	BT642	Control	3	ControlTP14
TP14_Z12	TP14	Rhizosphere	RT430	Control	3	ControlTP14
TP14_Z13	TP14	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP14
TP14_Z14	TP14	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP14
TP14_Z15	TP14	Rhizosphere	BT642	Post_flowering	1	Post_floweringTP14
TP14_Z16	TP14	Rhizosphere	RT430	Post_flowering	1	Post_floweringTP14
TP14_Z17	TP14	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP14
TP14_Z18	TP14	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP14
TP14_Z19	TP14	Rhizosphere	BT642	Control	2	ControlTP14
TP14_Z2	TP14	Rhizosphere	BT642	Control	1	ControlTP14
TP14_Z20	TP14	Rhizosphere	RT430	Control	2	ControlTP14
TP14_Z21	TP14	Rhizosphere	BT642	Post_flowering	3	Post_floweringTP14
TP14_Z22	TP14	Rhizosphere	RT430	Post_flowering	3	Post_floweringTP14
TP14_Z3	TP14	Rhizosphere	RT430	Post_flowering	2	Post_floweringTP14
TP14_Z4	TP14	Rhizosphere	BT642	Post_flowering	2	Post_floweringTP14
TP14_Z5	TP14	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP14
TP14_Z6	TP14	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP14
TP15_Z1	TP15	Rhizosphere	RT430	Control	1	ControlTP15
TP15_Z11	TP15	Rhizosphere	BT642	Control	3	ControlTP15
TP15_Z12	TP15	Rhizosphere	RT430	Control	3	ControlTP15
TP15_Z13	TP15	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP15
TP15_Z14	TP15	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP15
TP15_Z15	TP15	Rhizosphere	BT642	Post_flowering	1	Post_floweringTP15
TP15_Z16	TP15	Rhizosphere	RT430	Post_flowering	1	Post_floweringTP15
TP15_Z17	TP15	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP15
TP15_Z18	TP15	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP15
TP15_Z19	TP15	Rhizosphere	BT642	Control	2	ControlTP15
TP15_Z2	TP15	Rhizosphere	BT642	Control	1	ControlTP15
TP15_Z20	TP15	Rhizosphere	RT430	Control	2	ControlTP15
TP15_Z21	TP15	Rhizosphere	BT642	Post_flowering	3	Post_floweringTP15
TP15_Z22	TP15	Rhizosphere	RT430	Post_flowering	3	Post_floweringTP15
TP15_Z3	TP15	Rhizosphere	RT430	Post_flowering	2	Post_floweringTP15
TP15_Z4	TP15	Rhizosphere	BT642	Post_flowering	2	Post_floweringTP15
TP15_Z5	TP15	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP15
TP15_Z6	TP15	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP15
TP16_Z1	TP16	Rhizosphere	RT430	Control	1	ControlTP16
TP16_Z11	TP16	Rhizosphere	BT642	Control	3	ControlTP16
TP16_Z12	TP16	Rhizosphere	RT430	Control	3	ControlTP16
TP16_Z13	TP16	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP16
TP16_Z14	TP16	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP16
TP16_Z15	TP16	Rhizosphere	BT642	Post_flowering	1	Post_floweringTP16
TP16_Z16	TP16	Rhizosphere	RT430	Post_flowering	1	Post_floweringTP16
TP16_Z17	TP16	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP16
TP16_Z18	TP16	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP16
TP16_Z19	TP16	Rhizosphere	BT642	Control	2	ControlTP16
TP16_Z2	TP16	Rhizosphere	BT642	Control	1	ControlTP16
TP16_Z20	TP16	Rhizosphere	RT430	Control	2	ControlTP16
TP16_Z21	TP16	Rhizosphere	BT642	Post_flowering	3	Post_floweringTP16
TP16_Z22	TP16	Rhizosphere	RT430	Post_flowering	3	Post_floweringTP16
TP16_Z3	TP16	Rhizosphere	RT430	Post_flowering	2	Post_floweringTP16
TP16_Z4	TP16	Rhizosphere	BT642	Post_flowering	2	Post_floweringTP16
TP16_Z5	TP16	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP16
TP16_Z6	TP16	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP16
TP17_Z1	TP17	Rhizosphere	RT430	Control	1	ControlTP17
TP17_Z11	TP17	Rhizosphere	BT642	Control	3	ControlTP17
TP17_Z12	TP17	Rhizosphere	RT430	Control	3	ControlTP17
TP17_Z13	TP17	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP17
TP17_Z14	TP17	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP17
TP17_Z15	TP17	Rhizosphere	BT642	Post_flowering	1	Post_floweringTP17
TP17_Z16	TP17	Rhizosphere	RT430	Post_flowering	1	Post_floweringTP17
TP17_Z17	TP17	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP17
TP17_Z18	TP17	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP17
TP17_Z19	TP17	Rhizosphere	BT642	Control	2	ControlTP17
TP17_Z2	TP17	Rhizosphere	BT642	Control	1	ControlTP17
TP17_Z20	TP17	Rhizosphere	RT430	Control	2	ControlTP17
TP17_Z21	TP17	Rhizosphere	BT642	Post_flowering	3	Post_floweringTP17
TP17_Z22	TP17	Rhizosphere	RT430	Post_flowering	3	Post_floweringTP17
TP17_Z3	TP17	Rhizosphere	RT430	Post_flowering	2	Post_floweringTP17
TP17_Z4	TP17	Rhizosphere	BT642	Post_flowering	2	Post_floweringTP17
TP17_Z5	TP17	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP17
TP17_Z6	TP17	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP17
TP1_Z1	TP1	Rhizosphere	RT430	Control	1	ControlTP01
TP1_Z11	TP1	Rhizosphere	BT642	Control	3	ControlTP01
TP1_Z12	TP1	Rhizosphere	RT430	Control	3	ControlTP01
TP1_Z19	TP1	Rhizosphere	BT642	Control	2	ControlTP01
TP1_Z2	TP1	Rhizosphere	BT642	Control	1	ControlTP01
TP1_Z20	TP1	Rhizosphere	RT430	Control	2	ControlTP01
TP2_Z1	TP2	Rhizosphere	RT430	Control	1	ControlTP02
TP2_Z11	TP2	Rhizosphere	BT642	Control	3	ControlTP02
TP2_Z12	TP2	Rhizosphere	RT430	Control	3	ControlTP02
TP2_Z19	TP2	Rhizosphere	BT642	Control	2	ControlTP02
TP2_Z2	TP2	Rhizosphere	BT642	Control	1	ControlTP02
TP2_Z20	TP2	Rhizosphere	RT430	Control	2	ControlTP02
TP3_Z1	TP3	Rhizosphere	RT430	Control	1	ControlTP03
TP3_Z11	TP3	Rhizosphere	BT642	Control	3	ControlTP03
TP3_Z12	TP3	Rhizosphere	RT430	Control	3	ControlTP03
TP3_Z13	TP3	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP03
TP3_Z14	TP3	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP03
TP3_Z17	TP3	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP03
TP3_Z18	TP3	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP03
TP3_Z19	TP3	Rhizosphere	BT642	Control	2	ControlTP03
TP3_Z2	TP3	Rhizosphere	BT642	Control	1	ControlTP03
TP3_Z20	TP3	Rhizosphere	RT430	Control	2	ControlTP03
TP3_Z5	TP3	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP03
TP3_Z6	TP3	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP03
TP4_Z1	TP4	Rhizosphere	RT430	Control	1	ControlTP04
TP4_Z11	TP4	Rhizosphere	BT642	Control	3	ControlTP04
TP4_Z12	TP4	Rhizosphere	RT430	Control	3	ControlTP04
TP4_Z13	TP4	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP04
TP4_Z14	TP4	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP04
TP4_Z17	TP4	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP04
TP4_Z18	TP4	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP04
TP4_Z19	TP4	Rhizosphere	BT642	Control	2	ControlTP04
TP4_Z2	TP4	Rhizosphere	BT642	Control	1	ControlTP04
TP4_Z20	TP4	Rhizosphere	RT430	Control	2	ControlTP04
TP4_Z5	TP4	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP04
TP4_Z6	TP4	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP04
TP5_Z1	TP5	Rhizosphere	RT430	Control	1	ControlTP05
TP5_Z11	TP5	Rhizosphere	BT642	Control	3	ControlTP05
TP5_Z12	TP5	Rhizosphere	RT430	Control	3	ControlTP05
TP5_Z13	TP5	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP05
TP5_Z14	TP5	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP05
TP5_Z17	TP5	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP05
TP5_Z18	TP5	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP05
TP5_Z19	TP5	Rhizosphere	BT642	Control	2	ControlTP05
TP5_Z2	TP5	Rhizosphere	BT642	Control	1	ControlTP05
TP5_Z20	TP5	Rhizosphere	RT430	Control	2	ControlTP05
TP5_Z5	TP5	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP05
TP5_Z6	TP5	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP05
TP6_Z1	TP6	Rhizosphere	RT430	Control	1	ControlTP06
TP6_Z11	TP6	Rhizosphere	BT642	Control	3	ControlTP06
TP6_Z12	TP6	Rhizosphere	RT430	Control	3	ControlTP06
TP6_Z13	TP6	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP06
TP6_Z14	TP6	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP06
TP6_Z17	TP6	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP06
TP6_Z18	TP6	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP06
TP6_Z19	TP6	Rhizosphere	BT642	Control	2	ControlTP06
TP6_Z2	TP6	Rhizosphere	BT642	Control	1	ControlTP06
TP6_Z20	TP6	Rhizosphere	RT430	Control	2	ControlTP06
TP6_Z5	TP6	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP06
TP6_Z6	TP6	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP06
TP7_Z1	TP7	Rhizosphere	RT430	Control	1	ControlTP07
TP7_Z11	TP7	Rhizosphere	BT642	Control	3	ControlTP07
TP7_Z12	TP7	Rhizosphere	RT430	Control	3	ControlTP07
TP7_Z13	TP7	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP07
TP7_Z14	TP7	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP07
TP7_Z17	TP7	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP07
TP7_Z18	TP7	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP07
TP7_Z19	TP7	Rhizosphere	BT642	Control	2	ControlTP07
TP7_Z2	TP7	Rhizosphere	BT642	Control	1	ControlTP07
TP7_Z20	TP7	Rhizosphere	RT430	Control	2	ControlTP07
TP7_Z5	TP7	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP07
TP7_Z6	TP7	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP07
TP8_Z1	TP8	Rhizosphere	RT430	Control	1	ControlTP08
TP8_Z11	TP8	Rhizosphere	BT642	Control	3	ControlTP08
TP8_Z12	TP8	Rhizosphere	RT430	Control	3	ControlTP08
TP8_Z13	TP8	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP08
TP8_Z14	TP8	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP08
TP8_Z15	TP8	Rhizosphere	BT642	Post_flowering	1	Post_floweringTP08
TP8_Z16	TP8	Rhizosphere	RT430	Post_flowering	1	Post_floweringTP08
TP8_Z17	TP8	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP08
TP8_Z18	TP8	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP08
TP8_Z19	TP8	Rhizosphere	BT642	Control	2	ControlTP08
TP8_Z2	TP8	Rhizosphere	BT642	Control	1	ControlTP08
TP8_Z20	TP8	Rhizosphere	RT430	Control	2	ControlTP08
TP8_Z21	TP8	Rhizosphere	BT642	Post_flowering	3	Post_floweringTP08
TP8_Z22	TP8	Rhizosphere	RT430	Post_flowering	3	Post_floweringTP08
TP8_Z3	TP8	Rhizosphere	RT430	Post_flowering	2	Post_floweringTP08
TP8_Z4	TP8	Rhizosphere	BT642	Post_flowering	2	Post_floweringTP08
TP8_Z5	TP8	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP08
TP8_Z6	TP8	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP08
TP9_Z1	TP9	Rhizosphere	RT430	Control	1	ControlTP09
TP9_Z11	TP9	Rhizosphere	BT642	Control	3	ControlTP09
TP9_Z12	TP9	Rhizosphere	RT430	Control	3	ControlTP09
TP9_Z13	TP9	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP09
TP9_Z14	TP9	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP09
TP9_Z15	TP9	Rhizosphere	BT642	Post_flowering	1	Post_floweringTP09
TP9_Z16	TP9	Rhizosphere	RT430	Post_flowering	1	Post_floweringTP09
TP9_Z17	TP9	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP09
TP9_Z18	TP9	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP09
TP9_Z19	TP9	Rhizosphere	BT642	Control	2	ControlTP09
TP9_Z2	TP9	Rhizosphere	BT642	Control	1	ControlTP09
TP9_Z20	TP9	Rhizosphere	RT430	Control	2	ControlTP09
TP9_Z21	TP9	Rhizosphere	BT642	Post_flowering	3	Post_floweringTP09
TP9_Z22	TP9	Rhizosphere	RT430	Post_flowering	3	Post_floweringTP09
TP9_Z3	TP9	Rhizosphere	RT430	Post_flowering	2	Post_floweringTP09
TP9_Z4	TP9	Rhizosphere	BT642	Post_flowering	2	Post_floweringTP09
TP9_Z5	TP9	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP09
TP9_Z6	TP9	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP09
TP10_R1	TP10	Root	RT430	Control	1	ControlTP10
TP10_R11	TP10	Root	BT642	Control	3	ControlTP10
TP10_R12	TP10	Root	RT430	Control	3	ControlTP10
TP10_R13	TP10	Root	RT430	Pre_flowering	2	Pre_floweringTP10
TP10_R14	TP10	Root	BT642	Pre_flowering	2	Pre_floweringTP10
TP10_R15	TP10	Root	BT642	Post_flowering	1	Post_floweringTP10
TP10_R16	TP10	Root	RT430	Post_flowering	1	Post_floweringTP10
TP10_R17	TP10	Root	BT642	Pre_flowering	1	Pre_floweringTP10
TP10_R18	TP10	Root	RT430	Pre_flowering	1	Pre_floweringTP10
TP10_R19	TP10	Root	BT642	Control	2	ControlTP10
TP10_R2	TP10	Root	BT642	Control	1	ControlTP10
TP10_R20	TP10	Root	RT430	Control	2	ControlTP10
TP10_R21	TP10	Root	BT642	Post_flowering	3	Post_floweringTP10
TP10_R22	TP10	Root	RT430	Post_flowering	3	Post_floweringTP10
TP10_R3	TP10	Root	RT430	Post_flowering	2	Post_floweringTP10
TP10_R4	TP10	Root	BT642	Post_flowering	2	Post_floweringTP10
TP10_R5	TP10	Root	RT430	Pre_flowering	3	Pre_floweringTP10
TP10_R6	TP10	Root	BT642	Pre_flowering	3	Pre_floweringTP10
TP11_R1	TP11	Root	RT430	Control	1	ControlTP11
TP11_R11	TP11	Root	BT642	Control	3	ControlTP11
TP11_R12	TP11	Root	RT430	Control	3	ControlTP11
TP11_R13	TP11	Root	RT430	Pre_flowering	2	Pre_floweringTP11
TP11_R14	TP11	Root	BT642	Pre_flowering	2	Pre_floweringTP11
TP11_R15	TP11	Root	BT642	Post_flowering	1	Post_floweringTP11
TP11_R16	TP11	Root	RT430	Post_flowering	1	Post_floweringTP11
TP11_R17	TP11	Root	BT642	Pre_flowering	1	Pre_floweringTP11
TP11_R18	TP11	Root	RT430	Pre_flowering	1	Pre_floweringTP11
TP11_R19	TP11	Root	BT642	Control	2	ControlTP11
TP11_R2	TP11	Root	BT642	Control	1	ControlTP11
TP11_R20	TP11	Root	RT430	Control	2	ControlTP11
TP11_R21	TP11	Root	BT642	Post_flowering	3	Post_floweringTP11
TP11_R22	TP11	Root	RT430	Post_flowering	3	Post_floweringTP11
TP11_R3	TP11	Root	RT430	Post_flowering	2	Post_floweringTP11
TP11_R4	TP11	Root	BT642	Post_flowering	2	Post_floweringTP11
TP11_R5	TP11	Root	RT430	Pre_flowering	3	Pre_floweringTP11
TP11_R6	TP11	Root	BT642	Pre_flowering	3	Pre_floweringTP11
TP12_R1	TP12	Root	RT430	Control	1	ControlTP12
TP12_R11	TP12	Root	BT642	Control	3	ControlTP12
TP12_R12	TP12	Root	RT430	Control	3	ControlTP12
TP12_R13	TP12	Root	RT430	Pre_flowering	2	Pre_floweringTP12
TP12_R14	TP12	Root	BT642	Pre_flowering	2	Pre_floweringTP12
TP12_R15	TP12	Root	BT642	Post_flowering	1	Post_floweringTP12
TP12_R16	TP12	Root	RT430	Post_flowering	1	Post_floweringTP12
TP12_R17	TP12	Root	BT642	Pre_flowering	1	Pre_floweringTP12
TP12_R18	TP12	Root	RT430	Pre_flowering	1	Pre_floweringTP12
TP12_R19	TP12	Root	BT642	Control	2	ControlTP12
TP12_R2	TP12	Root	BT642	Control	1	ControlTP12
TP12_R20	TP12	Root	RT430	Control	2	ControlTP12
TP12_R21	TP12	Root	BT642	Post_flowering	3	Post_floweringTP12
TP12_R22	TP12	Root	RT430	Post_flowering	3	Post_floweringTP12
TP12_R3	TP12	Root	RT430	Post_flowering	2	Post_floweringTP12
TP12_R4	TP12	Root	BT642	Post_flowering	2	Post_floweringTP12
TP12_R5	TP12	Root	RT430	Pre_flowering	3	Pre_floweringTP12
TP12_R6	TP12	Root	BT642	Pre_flowering	3	Pre_floweringTP12
TP13_R1	TP13	Root	RT430	Control	1	ControlTP13
TP13_R11	TP13	Root	BT642	Control	3	ControlTP13
TP13_R12	TP13	Root	RT430	Control	3	ControlTP13
TP13_R13	TP13	Root	RT430	Pre_flowering	2	Pre_floweringTP13
TP13_R14	TP13	Root	BT642	Pre_flowering	2	Pre_floweringTP13
TP13_R15	TP13	Root	BT642	Post_flowering	1	Post_floweringTP13
TP13_R16	TP13	Root	RT430	Post_flowering	1	Post_floweringTP13
TP13_R17	TP13	Root	BT642	Pre_flowering	1	Pre_floweringTP13
TP13_R18	TP13	Root	RT430	Pre_flowering	1	Pre_floweringTP13
TP13_R19	TP13	Root	BT642	Control	2	ControlTP13
TP13_R2	TP13	Root	BT642	Control	1	ControlTP13
TP13_R20	TP13	Root	RT430	Control	2	ControlTP13
TP13_R21	TP13	Root	BT642	Post_flowering	3	Post_floweringTP13
TP13_R22	TP13	Root	RT430	Post_flowering	3	Post_floweringTP13
TP13_R3	TP13	Root	RT430	Post_flowering	2	Post_floweringTP13
TP13_R4	TP13	Root	BT642	Post_flowering	2	Post_floweringTP13
TP13_R5	TP13	Root	RT430	Pre_flowering	3	Pre_floweringTP13
TP13_R6	TP13	Root	BT642	Pre_flowering	3	Pre_floweringTP13
TP14_R1	TP14	Root	RT430	Control	1	ControlTP14
TP14_R11	TP14	Root	BT642	Control	3	ControlTP14
TP14_R12	TP14	Root	RT430	Control	3	ControlTP14
TP14_R13	TP14	Root	RT430	Pre_flowering	2	Pre_floweringTP14
TP14_R14	TP14	Root	BT642	Pre_flowering	2	Pre_floweringTP14
TP14_R15	TP14	Root	BT642	Post_flowering	1	Post_floweringTP14
TP14_R16	TP14	Root	RT430	Post_flowering	1	Post_floweringTP14
TP14_R17	TP14	Root	BT642	Control	2	ControlTP14
TP14_R18	TP14	Root	RT430	Control	2	ControlTP14
TP14_R19	TP14	Root	BT642	Pre_flowering	1	Pre_floweringTP14
TP14_R2	TP14	Root	BT642	Control	1	ControlTP14
TP14_R20	TP14	Root	RT430	Pre_flowering	1	Pre_floweringTP14
TP14_R21	TP14	Root	BT642	Post_flowering	3	Post_floweringTP14
TP14_R22	TP14	Root	RT430	Post_flowering	3	Post_floweringTP14
TP14_R3	TP14	Root	RT430	Post_flowering	2	Post_floweringTP14
TP14_R4	TP14	Root	BT642	Post_flowering	2	Post_floweringTP14
TP14_R5	TP14	Root	RT430	Pre_flowering	3	Pre_floweringTP14
TP14_R6	TP14	Root	BT642	Pre_flowering	3	Pre_floweringTP14
TP15_R1	TP15	Root	RT430	Control	1	ControlTP15
TP15_R11	TP15	Root	BT642	Control	3	ControlTP15
TP15_R12	TP15	Root	RT430	Control	3	ControlTP15
TP15_R13	TP15	Root	RT430	Pre_flowering	2	Pre_floweringTP15
TP15_R14	TP15	Root	BT642	Pre_flowering	2	Pre_floweringTP15
TP15_R15	TP15	Root	BT642	Post_flowering	1	Post_floweringTP15
TP15_R16	TP15	Root	RT430	Post_flowering	1	Post_floweringTP15
TP15_R17	TP15	Root	BT642	Pre_flowering	1	Pre_floweringTP15
TP15_R18	TP15	Root	RT430	Pre_flowering	1	Pre_floweringTP15
TP15_R19	TP15	Root	BT642	Control	2	ControlTP15
TP15_R2	TP15	Root	BT642	Control	1	ControlTP15
TP15_R20	TP15	Root	RT430	Control	2	ControlTP15
TP15_R21	TP15	Root	BT642	Post_flowering	3	Post_floweringTP15
TP15_R22	TP15	Root	RT430	Post_flowering	3	Post_floweringTP15
TP15_R3	TP15	Root	RT430	Post_flowering	2	Post_floweringTP15
TP15_R4	TP15	Root	BT642	Post_flowering	2	Post_floweringTP15
TP15_R5	TP15	Root	RT430	Pre_flowering	3	Pre_floweringTP15
TP15_R6	TP15	Root	BT642	Pre_flowering	3	Pre_floweringTP15
TP16_R1	TP16	Root	RT430	Control	1	ControlTP16
TP16_R11	TP16	Root	BT642	Control	3	ControlTP16
TP16_R12	TP16	Root	RT430	Control	3	ControlTP16
TP16_R13	TP16	Root	RT430	Pre_flowering	2	Pre_floweringTP16
TP16_R14	TP16	Root	BT642	Pre_flowering	2	Pre_floweringTP16
TP16_R15	TP16	Root	BT642	Post_flowering	1	Post_floweringTP16
TP16_R16	TP16	Root	RT430	Post_flowering	1	Post_floweringTP16
TP16_R17	TP16	Root	BT642	Pre_flowering	1	Pre_floweringTP16
TP16_R18	TP16	Root	RT430	Pre_flowering	1	Pre_floweringTP16
TP16_R19	TP16	Root	BT642	Control	2	ControlTP16
TP16_R2	TP16	Root	BT642	Control	1	ControlTP16
TP16_R20	TP16	Root	RT430	Control	2	ControlTP16
TP16_R21	TP16	Root	BT642	Post_flowering	3	Post_floweringTP16
TP16_R22	TP16	Root	RT430	Post_flowering	3	Post_floweringTP16
TP16_R3	TP16	Root	RT430	Post_flowering	2	Post_floweringTP16
TP16_R4	TP16	Root	BT642	Post_flowering	2	Post_floweringTP16
TP16_R5	TP16	Root	RT430	Pre_flowering	3	Pre_floweringTP16
TP16_R6	TP16	Root	BT642	Pre_flowering	3	Pre_floweringTP16
TP17_R1	TP17	Root	RT430	Control	1	ControlTP17
TP17_R11	TP17	Root	BT642	Control	3	ControlTP17
