Taxa	Phylum	Status	Score	SampleType	PhylumRank	RootRank	Order	SignTest
BacteroidetesPH	Bacteroidetes	D	0	Soil	4	0	552	0
FlavobacteriaceaeFA	Bacteroidetes	D	0	Soil	4	0	553	0
RhodothermaceaeFA	Bacteroidetes	D	0	Soil	4	0	554	0
Sufflavibacter	Bacteroidetes	D	0	Soil	4	0	555	0
Terriglobus	Acidobacteria	U	-6.355720468	Rhizosphere	5	-4.916078143	556	0
Terriglobus	Acidobacteria	U	-4.916078143	Root	5	-4.916078143	557	0
Terriglobus	Acidobacteria	U	0	Soil	5	-4.916078143	558	0
AcidobacteriaPH	Acidobacteria	U	-1.146512895	Rhizosphere	5	-3.008114408	559	0
AcidobacteriaPH	Acidobacteria	U	-3.008114408	Root	5	-3.008114408	560	0
AcidobacteriaPH	Acidobacteria	U	-0.890482994	Soil	5	-3.008114408	561	0
AcidobacterialesOR	Acidobacteria	U	-1.373184838	Rhizosphere	5	-0.872607925	562	0
AcidobacterialesOR	Acidobacteria	U	-0.872607925	Root	5	-0.872607925	563	0
AcidobacterialesOR	Acidobacteria	U	-0.525704958	Soil	5	-0.872607925	564	0
KoribacteraceaeFA	Acidobacteria	U	-1.275331288	Rhizosphere	5	0	565	0
SolibacteraceaeFA	Acidobacteria	U	-0.541188342	Rhizosphere	5	0	566	0
KoribacteraceaeFA	Acidobacteria	U	0	Root	5	0	567	0
SolibacteraceaeFA	Acidobacteria	U	0	Root	5	0	568	0
KoribacteraceaeFA	Acidobacteria	U	-1.453275259	Soil	5	0	569	0
SolibacteraceaeFA	Acidobacteria	U	-0.738029356	Soil	5	0	570	0
Gemmatimonas	Gemmatimonadetes	U	-1.396218691	Rhizosphere	6	-4.167176137	571	0
Gemmatimonas	Gemmatimonadetes	U	-4.167176137	Root	6	-4.167176137	572	0
Gemmatimonas	Gemmatimonadetes	U	-0.982549783	Soil	6	-4.167176137	573	0
GemmatimonadetesPH	Gemmatimonadetes	U	-1.569585404	Rhizosphere	6	-1.985190127	574	0
GemmatimonadetesPH	Gemmatimonadetes	U	-1.985190127	Root	6	-1.985190127	575	0
GemmatimonadetesPH	Gemmatimonadetes	U	-1.694565764	Soil	6	-1.985190127	576	0
TM7PH	TM7	U	-9.881227771	Rhizosphere	10	-9.19648075	577	0
TM7PH	TM7	U	-9.19648075	Root	10	-9.19648075	578	0
TM7PH	TM7	U	-6.085885448	Soil	10	-9.19648075	579	0
EW055OR	TM7	U	-6.688720911	Rhizosphere	10	-6.098316343	580	0
EW055OR	TM7	U	-6.098316343	Root	10	-6.098316343	581	0
EW055OR	TM7	U	-4.126662807	Soil	10	-6.098316343	582	0
A29FA	TM7	U	-5.808929999	Rhizosphere	10	-5.488102586	583	0
A29FA	TM7	U	-5.488102586	Root	10	-5.488102586	584	0
A29FA	TM7	U	-2.635963644	Soil	10	-5.488102586	585	0
Luteolibacter	Verrucomicrobia	D	-7.974848724	Rhizosphere	11	-7.111257531	586	0
Luteolibacter	Verrucomicrobia	D	-7.111257531	Root	11	-7.111257531	587	0
Luteolibacter	Verrucomicrobia	D	-3.463098231	Soil	11	-7.111257531	588	0
OpitutaceaeFA	Verrucomicrobia	D	-7.38489405	Rhizosphere	11	-6.690749982	589	0
OpitutaceaeFA	Verrucomicrobia	D	-6.690749982	Root	11	-6.690749982	590	0
OpitutaceaeFA	Verrucomicrobia	D	-2.701330999	Soil	11	-6.690749982	591	0
Haloferula	Verrucomicrobia	D	-6.874988337	Rhizosphere	11	-5.857899292	592	0
Haloferula	Verrucomicrobia	D	-5.857899292	Root	11	-5.857899292	593	0
Haloferula	Verrucomicrobia	D	0	Soil	11	-5.857899292	594	0
OpitutaeCL	Verrucomicrobia	D	-2.631739795	Rhizosphere	11	-4.077535633	595	0
OpitutaeCL	Verrucomicrobia	D	-4.077535633	Root	11	-4.077535633	596	0
OpitutaeCL	Verrucomicrobia	D	0	Soil	11	-4.077535633	597	0
Opitutus	Verrucomicrobia	D	-4.019699707	Rhizosphere	11	-3.972039746	598	0
Opitutus	Verrucomicrobia	D	-3.972039746	Root	11	-3.972039746	599	0
Opitutus	Verrucomicrobia	D	0	Soil	11	-3.972039746	600	0
SpartobacteriaceaeFA	Verrucomicrobia	D	0	Rhizosphere	11	-3.672047196	601	0
SpartobacteriaceaeFA	Verrucomicrobia	D	-3.672047196	Root	11	-3.672047196	602	0
SpartobacteriaceaeFA	Verrucomicrobia	D	0	Soil	11	-3.672047196	603	0
Prosthecobacter	Verrucomicrobia	D	-4.013144578	Rhizosphere	11	-3.544512556	604	0
Prosthecobacter	Verrucomicrobia	D	-3.544512556	Root	11	-3.544512556	605	0
Prosthecobacter	Verrucomicrobia	D	-2.206316284	Soil	11	-3.544512556	606	0
Chthoniobacter	Verrucomicrobia	D	-3.874289109	Rhizosphere	11	-2.995802031	607	0
Chthoniobacter	Verrucomicrobia	D	-2.995802031	Root	11	-2.995802031	608	0
Chthoniobacter	Verrucomicrobia	D	-1.21767348	Soil	11	-2.995802031	609	0
VerrucomicrobialesOR	Verrucomicrobia	D	-2.660087227	Rhizosphere	11	-2.787278521	610	0
VerrucomicrobialesOR	Verrucomicrobia	D	-2.787278521	Root	11	-2.787278521	611	0
VerrucomicrobialesOR	Verrucomicrobia	D	-0.82132661	Soil	11	-2.787278521	612	0
VerrucomicrobiaceaeFA	Verrucomicrobia	D	-1.594741917	Rhizosphere	11	-1.728849773	613	0
VerrucomicrobiaceaeFA	Verrucomicrobia	D	-1.728849773	Root	11	-1.728849773	614	0
VerrucomicrobiaceaeFA	Verrucomicrobia	D	-2.754967472	Soil	11	-1.728849773	615	0
Pelagicoccus	Verrucomicrobia	D	-5.21900874	Rhizosphere	11	0	616	0
VerrucomicrobiaPH	Verrucomicrobia	D	0	Rhizosphere	11	0	617	0
MC18	Verrucomicrobia	D	2.174370598	Rhizosphere	11	0	618	0
MC18	Verrucomicrobia	D	0	Root	11	0	619	0
Pelagicoccus	Verrucomicrobia	D	0	Root	11	0	620	0
VerrucomicrobiaPH	Verrucomicrobia	D	0	Root	11	0	621	0
VerrucomicrobiaPH	Verrucomicrobia	D	-4.014906488	Soil	11	0	622	0
MC18	Verrucomicrobia	D	0	Soil	11	0	623	0
Pelagicoccus	Verrucomicrobia	D	0	Soil	11	0	624	0
SM1D11OR	Cyanobacteria	U	-5.040671927	Rhizosphere	12	-5.69191297	625	0
SM1D11OR	Cyanobacteria	U	-5.69191297	Root	12	-5.69191297	626	0
SM1D11OR	Cyanobacteria	U	-3.185495624	Soil	12	-5.69191297	627	0
Chroococcidiopsis	Cyanobacteria	U	-4.168184575	Rhizosphere	12	0	628	0
PseudanabaenaceaeFA	Cyanobacteria	U	-2.451853183	Rhizosphere	12	0	629	0
CyanobacteriaPH	Cyanobacteria	U	1.956116342	Rhizosphere	12	0	630	0
TrebouxiophyceaeFA	Cyanobacteria	U	2.115834114	Rhizosphere	12	0	631	0
NostocaceaeFA	Cyanobacteria	U	2.134335504	Rhizosphere	12	0	632	0
Phormidium	Cyanobacteria	U	2.176984891	Rhizosphere	12	0	633	0
ChlamydomonadaceaeFA	Cyanobacteria	U	2.956696082	Rhizosphere	12	0	634	0
ChlamydomonadaceaeFA	Cyanobacteria	U	0	Root	12	0	635	0
Chroococcidiopsis	Cyanobacteria	U	0	Root	12	0	636	0
CyanobacteriaPH	Cyanobacteria	U	0	Root	12	0	637	0
NostocaceaeFA	Cyanobacteria	U	0	Root	12	0	638	0
Phormidium	Cyanobacteria	U	0	Root	12	0	639	0
PseudanabaenaceaeFA	Cyanobacteria	U	0	Root	12	0	640	0
TrebouxiophyceaeFA	Cyanobacteria	U	0	Root	12	0	641	0
Chroococcidiopsis	Cyanobacteria	U	0	Soil	12	0	642	0
NostocaceaeFA	Cyanobacteria	U	0	Soil	12	0	643	0
PseudanabaenaceaeFA	Cyanobacteria	U	0	Soil	12	0	644	0
TrebouxiophyceaeFA	Cyanobacteria	U	0	Soil	12	0	645	0
Phormidium	Cyanobacteria	U	0.890495574	Soil	12	0	646	0
CyanobacteriaPH	Cyanobacteria	U	0.903763356	Soil	12	0	647	0
ChlamydomonadaceaeFA	Cyanobacteria	U	1.315117772	Soil	12	0	648	0
StramenopilesOR	Cyanobacteria	U	1.573331631	Rhizosphere	12	2.927772141	649	0
StramenopilesOR	Cyanobacteria	U	2.927772141	Root	12	2.927772141	650	0
StramenopilesOR	Cyanobacteria	U	0	Soil	12	2.927772141	651	0
Nodularia	Cyanobacteria	U	2.406055866	Rhizosphere	12	3.470405573	652	0
Nodularia	Cyanobacteria	U	3.470405573	Root	12	3.470405573	653	0
Nodularia	Cyanobacteria	U	0	Soil	12	3.470405573	654	0
StreptophytaOR	Cyanobacteria	U	1.904128011	Rhizosphere	12	4.149201055	655	0
StreptophytaOR	Cyanobacteria	U	4.149201055	Root	12	4.149201055	656	0
StreptophytaOR	Cyanobacteria	U	0	Soil	12	4.149201055	657	0
CH21CL	Other	U	-3.653949663	Rhizosphere	13	-5.690520377	658	0
CH21CL	Other	U	-5.690520377	Root	13	-5.690520377	659	0
CH21CL	Other	U	0	Soil	13	-5.690520377	660	0
LeptospiraceaeFA	Other	U	0	Rhizosphere	13	-3.451607043	661	0
LeptospiraceaeFA	Other	U	-3.451607043	Root	13	-3.451607043	662	0
LeptospiraceaeFA	Other	U	0	Soil	13	-3.451607043	663	0
BRC1PH	Other	U	-1.284047646	Rhizosphere	13	-3.01242701	664	0
BRC1PH	Other	U	-3.01242701	Root	13	-3.01242701	665	0
BRC1PH	Other	U	0	Soil	13	-3.01242701	666	0
SM1B09CL	Other	U	-1.769380002	Rhizosphere	13	-2.264646343	667	0
SM1B09CL	Other	U	-2.264646343	Root	13	-2.264646343	668	0
SM1B09CL	Other	U	-1.416445742	Soil	13	-2.264646343	669	0
SBRH58CL	Other	U	-3.888346687	Rhizosphere	13	0	670	0
GN13CL	Other	U	-3.609979803	Rhizosphere	13	0	671	0
GN02PH	Other	U	-3.483273635	Rhizosphere	13	0	672	0
ElusimicrobiaPH	Other	U	-1.753972452	Rhizosphere	13	0	673	0
FAC88OR	Other	U	-1.504228553	Rhizosphere	13	0	674	0
GemmatimonadalesOR	Other	U	0	Rhizosphere	13	0	675	0
Leptolyngbya	Other	U	0	Rhizosphere	13	0	676	0
PirellulalesOR	Other	U	0	Rhizosphere	13	0	677	0
RB25CL	Other	U	0	Rhizosphere	13	0	678	0
SM2F11PH	Other	U	0	Rhizosphere	13	0	679	0
vadinHA49CL	Other	U	0	Rhizosphere	13	0	680	0
ElusimicrobiaPH	Other	U	0	Root	13	0	681	0
FAC88OR	Other	U	0	Root	13	0	682	0
GN02PH	Other	U	0	Root	13	0	683	0
GN13CL	Other	U	0	Root	13	0	684	0
GemmatimonadalesOR	Other	U	0	Root	13	0	685	0
Leptolyngbya	Other	U	0	Root	13	0	686	0
PirellulalesOR	Other	U	0	Root	13	0	687	0
RB25CL	Other	U	0	Root	13	0	688	0
SM2F11PH	Other	U	0	Root	13	0	689	0
vadinHA49CL	Other	U	0	Root	13	0	690	0
SBRH58CL	Other	U	0	Root	13	0	691	0
SM2F11PH	Other	U	-2.85391753	Soil	13	0	692	0
RB25CL	Other	U	-2.500754695	Soil	13	0	693	0
vadinHA49CL	Other	U	-1.729058847	Soil	13	0	694	0
ElusimicrobiaPH	Other	U	-1.595933741	Soil	13	0	695	0
GemmatimonadalesOR	Other	U	-0.63925073	Soil	13	0	696	0
FAC88OR	Other	U	0	Soil	13	0	697	0
GN02PH	Other	U	0	Soil	13	0	698	0
GN13CL	Other	U	0	Soil	13	0	699	0
SBRH58CL	Other	U	0	Soil	13	0	700	0
Leptolyngbya	Other	U	3.23398702	Soil	13	0	701	0
PirellulalesOR	Other	U	3.276544844	Soil	13	0	702	0
Sva0725CL	Other	U	0	Rhizosphere	13	2.002860937	703	0
Sva0725CL	Other	U	2.002860937	Root	13	2.002860937	704	0
Sva0725CL	Other	U	1.984498137	Soil	13	2.002860937	705	0
CCM11bPH	Other	U	2.08298633	Rhizosphere	13	3.191062819	706	0
CCM11bPH	Other	U	3.191062819	Root	13	3.191062819	707	0
CCM11bPH	Other	U	1.125463376	Soil	13	3.191062819	708	0
Chloroflexus	Chloroflexi	U	1.456375335	Rhizosphere	0	-2.800578168	709	1
Chloroflexus	Chloroflexi	U	-2.800578168	Root	0	-2.800578168	710	1
Chloroflexus	Chloroflexi	U	2.852417794	Soil	0	-2.800578168	711	1
KouleothrixaceaeFA	Chloroflexi	U	1.871185225	Rhizosphere	0	-2.449161778	712	1
KouleothrixaceaeFA	Chloroflexi	U	-2.449161778	Root	0	-2.449161778	713	1
KouleothrixaceaeFA	Chloroflexi	U	0	Soil	0	-2.449161778	714	1
HerpetosiphonaceaeFA	Chloroflexi	U	-3.568503617	Rhizosphere	0	-2.039000083	715	1
HerpetosiphonaceaeFA	Chloroflexi	U	-2.039000083	Root	0	-2.039000083	716	1
HerpetosiphonaceaeFA	Chloroflexi	U	1.24502938	Soil	0	-2.039000083	717	1
TK17CL	Chloroflexi	U	-1.980559342	Rhizosphere	0	2.487763072	718	1
TK17CL	Chloroflexi	U	2.487763072	Root	0	2.487763072	719	1
TK17CL	Chloroflexi	U	-0.650439109	Soil	0	2.487763072	720	1
Paenibacillus	Firmicutes	M	0.759120843	Rhizosphere	1	-2.905278052	721	1
Paenibacillus	Firmicutes	M	-2.905278052	Root	1	-2.905278052	722	1
Paenibacillus	Firmicutes	M	1.066376624	Soil	1	-2.905278052	723	1
MicromonosporaceaeFA	Actinobacteria	M	1.400332277	Rhizosphere	2	-3.63167487	724	1
MicromonosporaceaeFA	Actinobacteria	M	-3.63167487	Root	2	-3.63167487	725	1
MicromonosporaceaeFA	Actinobacteria	M	1.070767184	Soil	2	-3.63167487	726	1
IamiaceaeFA	Actinobacteria	M	2.386958969	Rhizosphere	2	-3.474904515	727	1
IamiaceaeFA	Actinobacteria	M	-3.474904515	Root	2	-3.474904515	728	1
IamiaceaeFA	Actinobacteria	M	0	Soil	2	-3.474904515	729	1
AcidimicrobialesOR	Actinobacteria	M	0.928595474	Rhizosphere	2	-1.567195411	730	1
AcidimicrobialesOR	Actinobacteria	M	-1.567195411	Root	2	-1.567195411	731	1
AcidimicrobialesOR	Actinobacteria	M	-0.841543611	Soil	2	-1.567195411	732	1
Dactylosporangium	Actinobacteria	M	0.725204791	Rhizosphere	2	-1.337672344	733	1
Dactylosporangium	Actinobacteria	M	-1.337672344	Root	2	-1.337672344	734	1
Dactylosporangium	Actinobacteria	M	0	Soil	2	-1.337672344	735	1
BacteriovoracaceaeFA	Proteobacteria	D	-5.587466217	Rhizosphere	3	-5.232613653	736	1
BacteriovoracaceaeFA	Proteobacteria	D	-5.232613653	Root	3	-5.232613653	737	1
BacteriovoracaceaeFA	Proteobacteria	D	1.415879575	Soil	3	-5.232613653	738	1
MyxococcalesOR	Proteobacteria	D	-2.823388331	Rhizosphere	3	-3.520862951	739	1
MyxococcalesOR	Proteobacteria	D	-3.520862951	Root	3	-3.520862951	740	1
MyxococcalesOR	Proteobacteria	D	1.934541387	Soil	3	-3.520862951	741	1
Balneimonas	Proteobacteria	D	1.876568668	Rhizosphere	3	-1.403495083	742	1
Balneimonas	Proteobacteria	D	-1.403495083	Root	3	-1.403495083	743	1
Balneimonas	Proteobacteria	D	0.70936544	Soil	3	-1.403495083	744	1
Kaistobacter	Proteobacteria	D	-1.008950032	Rhizosphere	3	-0.773639984	745	1
Kaistobacter	Proteobacteria	D	-0.773639984	Root	3	-0.773639984	746	1
Kaistobacter	Proteobacteria	D	0.483040379	Soil	3	-0.773639984	747	1
SyntrophobacteraceaeFA	Proteobacteria	D	1.310947417	Rhizosphere	3	1.643122158	748	1
SyntrophobacteraceaeFA	Proteobacteria	D	1.643122158	Root	3	1.643122158	749	1
SyntrophobacteraceaeFA	Proteobacteria	D	-0.534624183	Soil	3	1.643122158	750	1
SphingobacteriaceaeFA	Bacteroidetes	D	-4.628382065	Rhizosphere	4	-3.926033384	751	1
SphingobacteriaceaeFA	Bacteroidetes	D	-3.926033384	Root	4	-3.926033384	752	1
SphingobacteriaceaeFA	Bacteroidetes	D	1.146809026	Soil	4	-3.926033384	753	1
ChloracidobacteriaCL	Acidobacteria	U	-1.72086554	Rhizosphere	5	1.341578879	754	1
ChloracidobacteriaCL	Acidobacteria	U	1.341578879	Root	5	1.341578879	755	1
ChloracidobacteriaCL	Acidobacteria	U	-2.183077908	Soil	5	1.341578879	756	1
GemmatimonadaceaeFA	Gemmatimonadetes	U	-0.937330289	Rhizosphere	6	2.259789489	757	1
GemmatimonadaceaeFA	Gemmatimonadetes	U	2.259789489	Root	6	2.259789489	758	1
GemmatimonadaceaeFA	Gemmatimonadetes	U	-1.050762878	Soil	6	2.259789489	759	1
NitrospiraceaeFA	Nitrospirae	U	-0.783264365	Rhizosphere	7	1.742682098	760	1
NitrospiraceaeFA	Nitrospirae	U	1.742682098	Root	7	1.742682098	761	1
NitrospiraceaeFA	Nitrospirae	U	-1.657232628	Soil	7	1.742682098	762	1
