Var1	Var2	value	Variation
ControlTP12	ControlTP17	0.222333397	Control
ControlTP13	ControlTP17	0.211112927	Control
ControlTP14	ControlTP17	0.18600302	Control
ControlTP15	ControlTP17	0.18986344	Control
ControlTP16	ControlTP17	0.13810864	Control
ControlTP17	ControlTP17	0	Control
ControlTP2	ControlTP17	0.695350954	Control
ControlTP3	ControlTP17	0.757762736	Control
ControlTP4	ControlTP17	0.633645024	Control
ControlTP5	ControlTP17	0.574653358	Control
ControlTP6	ControlTP17	0.425596506	Control
ControlTP7	ControlTP17	0.370686472	Control
ControlTP8	ControlTP17	0.328861413	Control
ControlTP9	ControlTP17	0.279975163	Control
ControlTP1	ControlTP2	0.615399569	Control
ControlTP10	ControlTP2	0.637270378	Control
ControlTP11	ControlTP2	0.704022173	Control
ControlTP12	ControlTP2	0.707272341	Control
ControlTP13	ControlTP2	0.728744623	Control
ControlTP14	ControlTP2	0.718729948	Control
ControlTP15	ControlTP2	0.73436997	Control
ControlTP16	ControlTP2	0.716224244	Control
ControlTP17	ControlTP2	0.695350954	Control
ControlTP2	ControlTP2	0	Control
ControlTP3	ControlTP2	0.356775753	Control
ControlTP4	ControlTP2	0.479704124	Control
ControlTP5	ControlTP2	0.582298323	Control
ControlTP6	ControlTP2	0.616054172	Control
ControlTP7	ControlTP2	0.641161243	Control
ControlTP8	ControlTP2	0.669638755	Control
ControlTP9	ControlTP2	0.657837154	Control
ControlTP1	ControlTP3	0.570506377	Control
ControlTP10	ControlTP3	0.682345788	Control
ControlTP11	ControlTP3	0.756207092	Control
ControlTP12	ControlTP3	0.759625172	Control
ControlTP13	ControlTP3	0.77098648	Control
ControlTP14	ControlTP3	0.776734048	Control
ControlTP15	ControlTP3	0.79382753	Control
ControlTP16	ControlTP3	0.77722382	Control
ControlTP17	ControlTP3	0.757762736	Control
ControlTP2	ControlTP3	0.356775753	Control
ControlTP3	ControlTP3	0	Control
ControlTP4	ControlTP3	0.452315671	Control
ControlTP5	ControlTP3	0.584368249	Control
ControlTP6	ControlTP3	0.658040145	Control
ControlTP7	ControlTP3	0.679206083	Control
ControlTP8	ControlTP3	0.71326278	Control
ControlTP9	ControlTP3	0.699134847	Control
ControlTP1	ControlTP4	0.532919516	Control
ControlTP10	ControlTP4	0.49728759	Control
ControlTP11	ControlTP4	0.584781201	Control
ControlTP12	ControlTP4	0.598565449	Control
ControlTP13	ControlTP4	0.631431162	Control
ControlTP14	ControlTP4	0.639473551	Control
ControlTP15	ControlTP4	0.653074051	Control
ControlTP16	ControlTP4	0.651964706	Control
ControlTP17	ControlTP4	0.633645024	Control
ControlTP2	ControlTP4	0.479704124	Control
ControlTP3	ControlTP4	0.452315671	Control
ControlTP4	ControlTP4	0	Control
ControlTP5	ControlTP4	0.36621607	Control
ControlTP6	ControlTP4	0.402994229	Control
ControlTP7	ControlTP4	0.469124405	Control
ControlTP8	ControlTP4	0.519096612	Control
ControlTP9	ControlTP4	0.528843738	Control
ControlTP1	ControlTP5	0.631337148	Control
ControlTP10	ControlTP5	0.446102606	Control
ControlTP11	ControlTP5	0.531351808	Control
ControlTP12	ControlTP5	0.538454316	Control
ControlTP13	ControlTP5	0.550343405	Control
ControlTP14	ControlTP5	0.584920318	Control
ControlTP15	ControlTP5	0.620920928	Control
ControlTP16	ControlTP5	0.59467423	Control
ControlTP17	ControlTP5	0.574653358	Control
ControlTP2	ControlTP5	0.582298323	Control
ControlTP3	ControlTP5	0.584368249	Control
ControlTP4	ControlTP5	0.36621607	Control
ControlTP5	ControlTP5	0	Control
ControlTP6	ControlTP5	0.278082895	Control
ControlTP7	ControlTP5	0.318029013	Control
ControlTP8	ControlTP5	0.385726855	Control
ControlTP9	ControlTP5	0.435259648	Control
ControlTP1	ControlTP6	0.607217628	Control
ControlTP10	ControlTP6	0.260411493	Control
ControlTP11	ControlTP6	0.35296764	Control
ControlTP12	ControlTP6	0.362875153	Control
ControlTP13	ControlTP6	0.388191995	Control
ControlTP14	ControlTP6	0.418427386	Control
ControlTP15	ControlTP6	0.445002826	Control
ControlTP16	ControlTP6	0.424823592	Control
ControlTP17	ControlTP6	0.425596506	Control
ControlTP2	ControlTP6	0.616054172	Control
ControlTP3	ControlTP6	0.658040145	Control
ControlTP4	ControlTP6	0.402994229	Control
ControlTP5	ControlTP6	0.278082895	Control
ControlTP6	ControlTP6	0	Control
ControlTP7	ControlTP6	0.140843049	Control
ControlTP8	ControlTP6	0.213725729	Control
ControlTP9	ControlTP6	0.242842901	Control
ControlTP1	ControlTP7	0.649808476	Control
ControlTP10	ControlTP7	0.249321047	Control
ControlTP11	ControlTP7	0.317513714	Control
ControlTP12	ControlTP7	0.315198049	Control
ControlTP13	ControlTP7	0.322090301	Control
ControlTP14	ControlTP7	0.365473608	Control
ControlTP15	ControlTP7	0.402570952	Control
ControlTP16	ControlTP7	0.374819442	Control
ControlTP17	ControlTP7	0.370686472	Control
ControlTP2	ControlTP7	0.641161243	Control
ControlTP3	ControlTP7	0.679206083	Control
ControlTP4	ControlTP7	0.469124405	Control
ControlTP5	ControlTP7	0.318029013	Control
ControlTP6	ControlTP7	0.140843049	Control
ControlTP7	ControlTP7	0	Control
ControlTP8	ControlTP7	0.136602739	Control
ControlTP9	ControlTP7	0.195172714	Control
ControlTP1	ControlTP8	0.675809987	Control
ControlTP10	ControlTP8	0.22056462	Control
ControlTP11	ControlTP8	0.25359727	Control
ControlTP12	ControlTP8	0.241739352	Control
ControlTP13	ControlTP8	0.265673795	Control
ControlTP14	ControlTP8	0.298774209	Control
ControlTP15	ControlTP8	0.351466587	Control
ControlTP16	ControlTP8	0.321441734	Control
ControlTP17	ControlTP8	0.328861413	Control
ControlTP2	ControlTP8	0.669638755	Control
ControlTP3	ControlTP8	0.71326278	Control
ControlTP4	ControlTP8	0.519096612	Control
ControlTP5	ControlTP8	0.385726855	Control
ControlTP6	ControlTP8	0.213725729	Control
ControlTP7	ControlTP8	0.136602739	Control
ControlTP8	ControlTP8	0	Control
ControlTP9	ControlTP8	0.149621832	Control
ControlTP1	ControlTP9	0.650362194	Control
ControlTP10	ControlTP9	0.158769911	Control
ControlTP11	ControlTP9	0.192170034	Control
ControlTP12	ControlTP9	0.19834179	Control
ControlTP13	ControlTP9	0.235859429	Control
ControlTP14	ControlTP9	0.256889398	Control
ControlTP15	ControlTP9	0.305468131	Control
ControlTP16	ControlTP9	0.281229469	Control
ControlTP17	ControlTP9	0.279975163	Control
ControlTP2	ControlTP9	0.657837154	Control
ControlTP3	ControlTP9	0.699134847	Control
ControlTP4	ControlTP9	0.528843738	Control
ControlTP5	ControlTP9	0.435259648	Control
ControlTP6	ControlTP9	0.242842901	Control
ControlTP7	ControlTP9	0.195172714	Control
ControlTP8	ControlTP9	0.149621832	Control
ControlTP9	ControlTP9	0	Control
ControlTP1	Pre_floweringTP10	0.554098943	CD
ControlTP10	Pre_floweringTP10	0.424587229	CD
ControlTP11	Pre_floweringTP10	0.522989663	CD
ControlTP12	Pre_floweringTP10	0.533896188	CD
ControlTP13	Pre_floweringTP10	0.563377334	CD
ControlTP14	Pre_floweringTP10	0.57977007	CD
ControlTP15	Pre_floweringTP10	0.616648036	CD
ControlTP16	Pre_floweringTP10	0.602044884	CD
ControlTP17	Pre_floweringTP10	0.58773278	CD
ControlTP2	Pre_floweringTP10	0.589911411	CD
ControlTP3	Pre_floweringTP10	0.586589917	CD
ControlTP4	Pre_floweringTP10	0.297029486	CD
ControlTP5	Pre_floweringTP10	0.27829142	CD
ControlTP6	Pre_floweringTP10	0.335335326	CD
ControlTP7	Pre_floweringTP10	0.393656051	CD
ControlTP8	Pre_floweringTP10	0.442668803	CD
ControlTP9	Pre_floweringTP10	0.449321042	CD
ControlTP1	Pre_floweringTP11	0.592949674	CD
ControlTP10	Pre_floweringTP11	0.297401563	CD
ControlTP11	Pre_floweringTP11	0.395442604	CD
ControlTP12	Pre_floweringTP11	0.416044994	CD
ControlTP13	Pre_floweringTP11	0.470078478	CD
ControlTP14	Pre_floweringTP11	0.470582724	CD
ControlTP15	Pre_floweringTP11	0.50198446	CD
ControlTP16	Pre_floweringTP11	0.50468814	CD
ControlTP17	Pre_floweringTP11	0.501867699	CD
ControlTP2	Pre_floweringTP11	0.63849363	CD
