Var1	Var2	value	Variation
Pre_floweringTP9	Pre_floweringTP9	0	Drought
Pre_floweringTP10	Pre_floweringTP8	0.633522781	Drought
Pre_floweringTP11	Pre_floweringTP8	0.744796359	Drought
Pre_floweringTP12	Pre_floweringTP8	0.786557209	Drought
Pre_floweringTP13	Pre_floweringTP8	0.819222605	Drought
Pre_floweringTP14	Pre_floweringTP8	0.806639129	Drought
Pre_floweringTP15	Pre_floweringTP8	0.839137361	Drought
Pre_floweringTP16	Pre_floweringTP8	0.835888897	Drought
Pre_floweringTP17	Pre_floweringTP8	0.82091104	Drought
Pre_floweringTP3	Pre_floweringTP8	0.422148441	Drought
Pre_floweringTP4	Pre_floweringTP8	0.56311225	Drought
Pre_floweringTP5	Pre_floweringTP8	0.309643352	Drought
Pre_floweringTP6	Pre_floweringTP8	0.247482576	Drought
Pre_floweringTP7	Pre_floweringTP8	0.160674761	Drought
Pre_floweringTP8	Pre_floweringTP8	0	Drought
Pre_floweringTP9	Pre_floweringTP8	0.543236378	Drought
Pre_floweringTP10	Pre_floweringTP7	0.593929393	Drought
Pre_floweringTP11	Pre_floweringTP7	0.728962125	Drought
Pre_floweringTP12	Pre_floweringTP7	0.769186682	Drought
Pre_floweringTP13	Pre_floweringTP7	0.801491485	Drought
Pre_floweringTP14	Pre_floweringTP7	0.791366021	Drought
Pre_floweringTP15	Pre_floweringTP7	0.823608109	Drought
Pre_floweringTP16	Pre_floweringTP7	0.81963055	Drought
Pre_floweringTP17	Pre_floweringTP7	0.805538939	Drought
Pre_floweringTP3	Pre_floweringTP7	0.321391091	Drought
Pre_floweringTP4	Pre_floweringTP7	0.52959978	Drought
Pre_floweringTP5	Pre_floweringTP7	0.20713384	Drought
Pre_floweringTP6	Pre_floweringTP7	0.233230496	Drought
Pre_floweringTP7	Pre_floweringTP7	0	Drought
Pre_floweringTP8	Pre_floweringTP7	0.160674761	Drought
Pre_floweringTP9	Pre_floweringTP7	0.517426623	Drought
Pre_floweringTP10	Pre_floweringTP6	0.600117533	Drought
Pre_floweringTP11	Pre_floweringTP6	0.718444719	Drought
Pre_floweringTP12	Pre_floweringTP6	0.7581621	Drought
Pre_floweringTP13	Pre_floweringTP6	0.792955271	Drought
Pre_floweringTP14	Pre_floweringTP6	0.777174256	Drought
Pre_floweringTP15	Pre_floweringTP6	0.811109846	Drought
Pre_floweringTP16	Pre_floweringTP6	0.806419767	Drought
Pre_floweringTP17	Pre_floweringTP6	0.79540825	Drought
Pre_floweringTP3	Pre_floweringTP6	0.272654928	Drought
Pre_floweringTP4	Pre_floweringTP6	0.416480897	Drought
Pre_floweringTP5	Pre_floweringTP6	0.221078485	Drought
Pre_floweringTP6	Pre_floweringTP6	0	Drought
Pre_floweringTP7	Pre_floweringTP6	0.233230496	Drought
Pre_floweringTP8	Pre_floweringTP6	0.247482576	Drought
Pre_floweringTP9	Pre_floweringTP6	0.550926014	Drought
Pre_floweringTP10	Pre_floweringTP5	0.608459459	Drought
Pre_floweringTP11	Pre_floweringTP5	0.730580413	Drought
Pre_floweringTP12	Pre_floweringTP5	0.769652836	Drought
Pre_floweringTP13	Pre_floweringTP5	0.805150762	Drought
Pre_floweringTP14	Pre_floweringTP5	0.791417783	Drought
Pre_floweringTP15	Pre_floweringTP5	0.826596793	Drought
Pre_floweringTP16	Pre_floweringTP5	0.822294692	Drought
Pre_floweringTP17	Pre_floweringTP5	0.81204344	Drought
Pre_floweringTP3	Pre_floweringTP5	0.199255635	Drought
Pre_floweringTP4	Pre_floweringTP5	0.452469212	Drought
Pre_floweringTP5	Pre_floweringTP5	0	Drought
Pre_floweringTP6	Pre_floweringTP5	0.221078485	Drought
Pre_floweringTP7	Pre_floweringTP5	0.20713384	Drought
Pre_floweringTP8	Pre_floweringTP5	0.309643352	Drought
Pre_floweringTP9	Pre_floweringTP5	0.543217553	Drought
Pre_floweringTP10	Pre_floweringTP4	0.688963703	Drought
Pre_floweringTP11	Pre_floweringTP4	0.762802064	Drought
Pre_floweringTP12	Pre_floweringTP4	0.796801669	Drought
Pre_floweringTP13	Pre_floweringTP4	0.819377955	Drought
Pre_floweringTP14	Pre_floweringTP4	0.80442362	Drought
Pre_floweringTP15	Pre_floweringTP4	0.834486493	Drought
Pre_floweringTP16	Pre_floweringTP4	0.830958287	Drought
Pre_floweringTP17	Pre_floweringTP4	0.823996216	Drought
Pre_floweringTP3	Pre_floweringTP4	0.470205786	Drought
Pre_floweringTP4	Pre_floweringTP4	0	Drought
Pre_floweringTP5	Pre_floweringTP4	0.452469212	Drought
Pre_floweringTP6	Pre_floweringTP4	0.416480897	Drought
Pre_floweringTP7	Pre_floweringTP4	0.52959978	Drought
Pre_floweringTP8	Pre_floweringTP4	0.56311225	Drought
Pre_floweringTP9	Pre_floweringTP4	0.67763396	Drought
Pre_floweringTP10	Pre_floweringTP3	0.576445281	Drought
Pre_floweringTP11	Pre_floweringTP3	0.677218696	Drought
Pre_floweringTP12	Pre_floweringTP3	0.708678066	Drought
Pre_floweringTP13	Pre_floweringTP3	0.753393388	Drought
Pre_floweringTP14	Pre_floweringTP3	0.740283	Drought
Pre_floweringTP15	Pre_floweringTP3	0.774760308	Drought
Pre_floweringTP16	Pre_floweringTP3	0.766103788	Drought
Pre_floweringTP17	Pre_floweringTP3	0.753518158	Drought
Pre_floweringTP3	Pre_floweringTP3	0	Drought
Pre_floweringTP4	Pre_floweringTP3	0.470205786	Drought
Pre_floweringTP5	Pre_floweringTP3	0.199255635	Drought
Pre_floweringTP6	Pre_floweringTP3	0.272654928	Drought
Pre_floweringTP7	Pre_floweringTP3	0.321391091	Drought
Pre_floweringTP8	Pre_floweringTP3	0.422148441	Drought
Pre_floweringTP9	Pre_floweringTP3	0.510404233	Drought
Pre_floweringTP10	Pre_floweringTP17	0.523683105	Drought
Pre_floweringTP11	Pre_floweringTP17	0.39641268	Drought
Pre_floweringTP12	Pre_floweringTP17	0.291956197	Drought
Pre_floweringTP13	Pre_floweringTP17	0.219617586	Drought
Pre_floweringTP14	Pre_floweringTP17	0.182815731	Drought
Pre_floweringTP15	Pre_floweringTP17	0.150236432	Drought
Pre_floweringTP16	Pre_floweringTP17	0.133740129	Drought
Pre_floweringTP17	Pre_floweringTP17	0	Drought
Pre_floweringTP3	Pre_floweringTP17	0.753518158	Drought
Pre_floweringTP4	Pre_floweringTP17	0.823996216	Drought
Pre_floweringTP5	Pre_floweringTP17	0.81204344	Drought
Pre_floweringTP6	Pre_floweringTP17	0.79540825	Drought
Pre_floweringTP7	Pre_floweringTP17	0.805538939	Drought
Pre_floweringTP8	Pre_floweringTP17	0.82091104	Drought
Pre_floweringTP9	Pre_floweringTP17	0.621407459	Drought
Pre_floweringTP10	Pre_floweringTP16	0.544347947	Drought
Pre_floweringTP11	Pre_floweringTP16	0.410930422	Drought
Pre_floweringTP12	Pre_floweringTP16	0.314099814	Drought
Pre_floweringTP13	Pre_floweringTP16	0.21184206	Drought
Pre_floweringTP14	Pre_floweringTP16	0.180411759	Drought
Pre_floweringTP15	Pre_floweringTP16	0.100715379	Drought
Pre_floweringTP16	Pre_floweringTP16	0	Drought
Pre_floweringTP17	Pre_floweringTP16	0.133740129	Drought
Pre_floweringTP3	Pre_floweringTP16	0.766103788	Drought
Pre_floweringTP4	Pre_floweringTP16	0.830958287	Drought
Pre_floweringTP5	Pre_floweringTP16	0.822294692	Drought
Pre_floweringTP6	Pre_floweringTP16	0.806419767	Drought
Pre_floweringTP7	Pre_floweringTP16	0.81963055	Drought
Pre_floweringTP8	Pre_floweringTP16	0.835888897	Drought
Pre_floweringTP9	Pre_floweringTP16	0.637175353	Drought
Pre_floweringTP10	Pre_floweringTP15	0.539287824	Drought
Pre_floweringTP11	Pre_floweringTP15	0.390857526	Drought
Pre_floweringTP12	Pre_floweringTP15	0.295143725	Drought
Pre_floweringTP13	Pre_floweringTP15	0.188076419	Drought
Pre_floweringTP14	Pre_floweringTP15	0.157830368	Drought
Pre_floweringTP15	Pre_floweringTP15	0	Drought
Pre_floweringTP16	Pre_floweringTP15	0.100715379	Drought
Pre_floweringTP17	Pre_floweringTP15	0.150236432	Drought
Pre_floweringTP3	Pre_floweringTP15	0.774760308	Drought
Pre_floweringTP4	Pre_floweringTP15	0.834486493	Drought
Pre_floweringTP5	Pre_floweringTP15	0.826596793	Drought
Pre_floweringTP6	Pre_floweringTP15	0.811109846	Drought
Pre_floweringTP7	Pre_floweringTP15	0.823608109	Drought
Pre_floweringTP8	Pre_floweringTP15	0.839137361	Drought
Pre_floweringTP9	Pre_floweringTP15	0.637557045	Drought
Pre_floweringTP10	Pre_floweringTP14	0.465887831	Drought
Pre_floweringTP11	Pre_floweringTP14	0.292584239	Drought
Pre_floweringTP12	Pre_floweringTP14	0.209819291	Drought
Pre_floweringTP13	Pre_floweringTP14	0.132414796	Drought
Pre_floweringTP14	Pre_floweringTP14	0	Drought
Pre_floweringTP15	Pre_floweringTP14	0.157830368	Drought
Pre_floweringTP16	Pre_floweringTP14	0.180411759	Drought
Pre_floweringTP17	Pre_floweringTP14	0.182815731	Drought
Pre_floweringTP3	Pre_floweringTP14	0.740283	Drought
Pre_floweringTP4	Pre_floweringTP14	0.80442362	Drought
Pre_floweringTP5	Pre_floweringTP14	0.791417783	Drought
Pre_floweringTP6	Pre_floweringTP14	0.777174256	Drought
Pre_floweringTP7	Pre_floweringTP14	0.791366021	Drought
Pre_floweringTP8	Pre_floweringTP14	0.806639129	Drought
Pre_floweringTP9	Pre_floweringTP14	0.579057331	Drought
Pre_floweringTP10	Pre_floweringTP13	0.476676115	Drought
Pre_floweringTP11	Pre_floweringTP13	0.286328127	Drought
Pre_floweringTP12	Pre_floweringTP13	0.170594178	Drought
Pre_floweringTP13	Pre_floweringTP13	0	Drought
Pre_floweringTP14	Pre_floweringTP13	0.132414796	Drought
Pre_floweringTP15	Pre_floweringTP13	0.188076419	Drought
Pre_floweringTP16	Pre_floweringTP13	0.21184206	Drought
Pre_floweringTP17	Pre_floweringTP13	0.219617586	Drought
Pre_floweringTP3	Pre_floweringTP13	0.753393388	Drought
Pre_floweringTP4	Pre_floweringTP13	0.819377955	Drought
Pre_floweringTP5	Pre_floweringTP13	0.805150762	Drought
Pre_floweringTP6	Pre_floweringTP13	0.792955271	Drought
Pre_floweringTP7	Pre_floweringTP13	0.801491485	Drought
Pre_floweringTP8	Pre_floweringTP13	0.819222605	Drought
Pre_floweringTP9	Pre_floweringTP13	0.59915876	Drought
Pre_floweringTP10	Pre_floweringTP12	0.377631539	Drought
Pre_floweringTP11	Pre_floweringTP12	0.205378534	Drought
Pre_floweringTP12	Pre_floweringTP12	0	Drought
Pre_floweringTP13	Pre_floweringTP12	0.170594178	Drought
Pre_floweringTP14	Pre_floweringTP12	0.209819291	Drought
Pre_floweringTP15	Pre_floweringTP12	0.295143725	Drought
Pre_floweringTP16	Pre_floweringTP12	0.314099814	Drought
Pre_floweringTP17	Pre_floweringTP12	0.291956197	Drought
Pre_floweringTP3	Pre_floweringTP12	0.708678066	Drought
Pre_floweringTP4	Pre_floweringTP12	0.796801669	Drought
Pre_floweringTP5	Pre_floweringTP12	0.769652836	Drought
Pre_floweringTP6	Pre_floweringTP12	0.7581621	Drought
Pre_floweringTP7	Pre_floweringTP12	0.769186682	Drought
Pre_floweringTP8	Pre_floweringTP12	0.786557209	Drought
Pre_floweringTP9	Pre_floweringTP12	0.525392829	Drought
Pre_floweringTP10	Pre_floweringTP11	0.259955067	Drought
Pre_floweringTP11	Pre_floweringTP11	0	Drought
Pre_floweringTP12	Pre_floweringTP11	0.205378534	Drought
Pre_floweringTP13	Pre_floweringTP11	0.286328127	Drought
Pre_floweringTP14	Pre_floweringTP11	0.292584239	Drought
Pre_floweringTP15	Pre_floweringTP11	0.390857526	Drought
Pre_floweringTP16	Pre_floweringTP11	0.410930422	Drought
Pre_floweringTP17	Pre_floweringTP11	0.39641268	Drought
Pre_floweringTP3	Pre_floweringTP11	0.677218696	Drought
Pre_floweringTP4	Pre_floweringTP11	0.762802064	Drought
Pre_floweringTP5	Pre_floweringTP11	0.730580413	Drought
Pre_floweringTP6	Pre_floweringTP11	0.718444719	Drought
Pre_floweringTP7	Pre_floweringTP11	0.728962125	Drought
Pre_floweringTP8	Pre_floweringTP11	0.744796359	Drought
Pre_floweringTP9	Pre_floweringTP11	0.418649359	Drought
Pre_floweringTP10	Pre_floweringTP10	0	Drought
Pre_floweringTP11	Pre_floweringTP10	0.259955067	Drought
Pre_floweringTP12	Pre_floweringTP10	0.377631539	Drought
Pre_floweringTP13	Pre_floweringTP10	0.476676115	Drought
Pre_floweringTP14	Pre_floweringTP10	0.465887831	Drought
Pre_floweringTP15	Pre_floweringTP10	0.539287824	Drought
Pre_floweringTP16	Pre_floweringTP10	0.544347947	Drought
Pre_floweringTP17	Pre_floweringTP10	0.523683105	Drought
Pre_floweringTP3	Pre_floweringTP10	0.576445281	Drought
Pre_floweringTP4	Pre_floweringTP10	0.688963703	Drought
Pre_floweringTP5	Pre_floweringTP10	0.608459459	Drought
Pre_floweringTP6	Pre_floweringTP10	0.600117533	Drought
Pre_floweringTP7	Pre_floweringTP10	0.593929393	Drought
Pre_floweringTP8	Pre_floweringTP10	0.633522781	Drought
Pre_floweringTP9	Pre_floweringTP10	0.255151547	Drought
